survey,series,seriesID,state
CES,"Mining and Logging, Not seasonally adjusted",SMU04000001000000001, Arizona
CES,"Mining, Logging, and Construction, Not seasonally adjusted",SMU04000001500000001, Arizona
CES,"Construction, Not seasonally adjusted",SMU04000002000000001, Arizona
CES,"Manufacturing, Not seasonally adjusted",SMU04000003000000001, Arizona
CES,"Trade, Transportation, and Utilities, Not seasonally adjusted",SMU04000004000000001, Arizona
CES,"Information, Not seasonally adjusted",SMU04000005000000001, Arizona
CES,"Total Nonfarm, Not seasonally adjusted",SMU05000000000000001, Arkansas
CES,"Mining and Logging, Not seasonally adjusted",SMU05000001000000001, Arkansas
CES,"Mining, Logging, and Construction, Not seasonally adjusted",SMU05000001500000001, Arkansas
CES,"Construction, Not seasonally adjusted",SMU05000002000000001, Arkansas
CES,"Manufacturing, Not seasonally adjusted",SMU05000003000000001, Arkansas
CES,"Trade, Transportation, and Utilities, Not seasonally adjusted",SMU05000004000000001, Arkansas
CES,"Information, Not seasonally adjusted",SMU05000005000000001, Arkansas
CES,"Financial Activities, Not seasonally adjusted",SMU05000005500000001, Arkansas
CES,"Professional and Business Services, Not seasonally adjusted",SMU05000006000000001, Arkansas
CES,"Education and Health Services, Not seasonally adjusted",SMU05000006500000001, Arkansas
CES,"Leisure and Hospitality, Not seasonally adjusted",SMU05000007000000001, Arkansas
CES,"Other Services, Not seasonally adjusted",SMU05000008000000001, Arkansas
CES,"Government, Not seasonally adjusted",SMU05000009000000001, Arkansas
CES,"Total Nonfarm, Seasonally adjusted",SMS05000000000000001, Arkansas
CES,"Mining and Logging, Seasonally adjusted",SMS05000001000000001, Arkansas
CES,"Mining, Logging, and Construction, Seasonally adjusted",SMS05000001500000001, Arkansas
CES,"Construction, Seasonally adjusted",SMS05000002000000001, Arkansas
CES,"Manufacturing, Seasonally adjusted",SMS05000003000000001, Arkansas
CES,"Trade, Transportation, and Utilities, Seasonally adjusted",SMS05000004000000001, Arkansas
CES,"Financial Activities, Seasonally adjusted",SMS05000005500000001, Arkansas
CES,"Professional and Business Services, Seasonally adjusted",SMS05000006000000001, Arkansas
CES,"Education and Health Services, Seasonally adjusted",SMS05000006500000001, Arkansas
CES,"Leisure and Hospitality, Seasonally adjusted",SMS05000007000000001, Arkansas
CES,"Other Services, Seasonally adjusted",SMS05000008000000001, Arkansas
CES,"Government, Seasonally adjusted",SMS05000009000000001, Arkansas
CES,"Total Nonfarm, Not seasonally adjusted",SMU06000000000000001, California
CES,"Mining and Logging, Not seasonally adjusted",SMU06000001000000001, California
CES,"Mining, Logging, and Construction, Not seasonally adjusted",SMU06000001500000001, California
CES,"Construction, Not seasonally adjusted",SMU06000002000000001, California
CES,"Manufacturing, Not seasonally adjusted",SMU06000003000000001, California
CES,"Trade, Transportation, and Utilities, Not seasonally adjusted",SMU06000004000000001, California
CES,"Information, Not seasonally adjusted",SMU06000005000000001, California
CES,"Financial Activities, Not seasonally adjusted",SMU06000005500000001, California
CES,"Professional and Business Services, Not seasonally adjusted",SMU06000006000000001, California
CES,"Education and Health Services, Not seasonally adjusted",SMU06000006500000001, California
CES,"Leisure and Hospitality, Not seasonally adjusted",SMU06000007000000001, California
CES,"Other Services, Not seasonally adjusted",SMU06000008000000001, California
CES,"Government, Not seasonally adjusted",SMU06000009000000001, California
CES,"Total Nonfarm, Seasonally adjusted",SMS06000000000000001, California
CES,"Mining and Logging, Seasonally adjusted",SMS06000001000000001, California
CES,"Mining, Logging, and Construction, Seasonally adjusted",SMS06000001500000001, California
CES,"Construction, Seasonally adjusted",SMS06000002000000001, California
CES,"Manufacturing, Seasonally adjusted",SMS06000003000000001, California
CES,"Trade, Transportation, and Utilities, Seasonally adjusted",SMS06000004000000001, California
CES,"Information, Seasonally adjusted",SMS06000005000000001, California
CES,"Financial Activities, Seasonally adjusted",SMS06000005500000001, California
CES,"Professional and Business Services, Seasonally adjusted",SMS06000006000000001, California
CES,"Education and Health Services, Seasonally adjusted",SMS06000006500000001, California
CES,"Leisure and Hospitality, Seasonally adjusted",SMS06000007000000001, California
CES,"Other Services, Seasonally adjusted",SMS06000008000000001, California
CES,"Government, Seasonally adjusted",SMS06000009000000001, California
CES,"Total Nonfarm, Not seasonally adjusted",SMU08000000000000001, Colorado
CES,"Mining and Logging, Not seasonally adjusted",SMU08000001000000001, Colorado
CES,"Mining, Logging, and Construction, Not seasonally adjusted",SMU08000001500000001, Colorado
CES,"Construction, Not seasonally adjusted",SMU08000002000000001, Colorado
CES,"Manufacturing, Not seasonally adjusted",SMU08000003000000001, Colorado
CES,"Trade, Transportation, and Utilities, Not seasonally adjusted",SMU08000004000000001, Colorado
CES,"Information, Not seasonally adjusted",SMU08000005000000001, Colorado
CES,"Financial Activities, Not seasonally adjusted",SMU08000005500000001, Colorado
CES,"Professional and Business Services, Not seasonally adjusted",SMU08000006000000001, Colorado
CES,"Education and Health Services, Not seasonally adjusted",SMU08000006500000001, Colorado
CES,"Leisure and Hospitality, Not seasonally adjusted",SMU08000007000000001, Colorado
CES,"Other Services, Not seasonally adjusted",SMU08000008000000001, Colorado
CES,"Government, Not seasonally adjusted",SMU08000009000000001, Colorado
CES,"Total Nonfarm, Seasonally adjusted",SMS08000000000000001, Colorado
CES,"Mining and Logging, Seasonally adjusted",SMS08000001000000001, Colorado
CES,"Mining, Logging, and Construction, Seasonally adjusted",SMS08000001500000001, Colorado
CES,"Construction, Seasonally adjusted",SMS08000002000000001, Colorado
CES,"Manufacturing, Seasonally adjusted",SMS08000003000000001, Colorado
CES,"Trade, Transportation, and Utilities, Seasonally adjusted",SMS08000004000000001, Colorado
CES,"Financial Activities, Seasonally adjusted",SMS08000005500000001, Colorado
CES,"Professional and Business Services, Seasonally adjusted",SMS08000006000000001, Colorado
CES,"Education and Health Services, Seasonally adjusted",SMS08000006500000001, Colorado
CES,"Leisure and Hospitality, Seasonally adjusted",SMS08000007000000001, Colorado
CES,"Other Services, Seasonally adjusted",SMS08000008000000001, Colorado
CES,"Government, Seasonally adjusted",SMS08000009000000001, Colorado
CES,"Total Nonfarm, Not seasonally adjusted",SMU09000000000000001, Connecticut
CES,"Mining and Logging, Not seasonally adjusted",SMU09000001000000001, Connecticut
CES,"Mining, Logging, and Construction, Not seasonally adjusted",SMU09000001500000001, Connecticut
CES,"Construction, Not seasonally adjusted",SMU09000002000000001, Connecticut
CES,"Manufacturing, Not seasonally adjusted",SMU09000003000000001, Connecticut
CES,"Trade, Transportation, and Utilities, Not seasonally adjusted",SMU09000004000000001, Connecticut
CES,"Information, Not seasonally adjusted",SMU09000005000000001, Connecticut
CES,"Financial Activities, Not seasonally adjusted",SMU09000005500000001, Connecticut
CES,"Professional and Business Services, Not seasonally adjusted",SMU09000006000000001, Connecticut
CES,"Education and Health Services, Not seasonally adjusted",SMU09000006500000001, Connecticut
CES,"Leisure and Hospitality, Not seasonally adjusted",SMU09000007000000001, Connecticut
CES,"Other Services, Not seasonally adjusted",SMU09000008000000001, Connecticut
CES,"Government, Not seasonally adjusted",SMU09000009000000001, Connecticut
