"seriesid","year","period","period_name","value","footnotes"
"WSU100",2021,"M12","December","1","[{}]"
"WSU100",2021,"M11","November","1","[{}]"
"WSU100",2021,"M10","October","4","[{}]"
"WSU100",2021,"M09","September","1","[{}]"
"WSU100",2021,"M08","August","1","[{}]"
"WSU100",2021,"M07","July","1","[{}]"
"WSU100",2021,"M06","June","1","[{}]"
"WSU100",2021,"M05","May","0","[{}]"
"WSU100",2021,"M04","April","3","[{}]"
"WSU100",2021,"M03","March","2","[{}]"
"WSU100",2021,"M02","February","0","[{}]"
"WSU100",2021,"M01","January","1","[{}]"
"WSU100",2020,"M12","December","1","[{}]"
"WSU100",2020,"M11","November","0","[{}]"
"WSU100",2020,"M10","October","1","[{}]"
"WSU100",2020,"M09","September","2","[{}]"
"WSU100",2020,"M08","August","0","[{}]"
"WSU100",2020,"M07","July","0","[{}]"
"WSU100",2020,"M06","June","1","[{}]"
"WSU100",2020,"M05","May","0","[{}]"
"WSU100",2020,"M04","April","0","[{}]"
"WSU100",2020,"M03","March","2","[{}]"
"WSU100",2020,"M02","February","0","[{}]"
"WSU100",2020,"M01","January","1","[{}]"
"WSU100",2019,"M12","December","2","[{}]"
"WSU100",2019,"M11","November","0","[{}]"
"WSU100",2019,"M10","October","3","[{}]"
"WSU100",2019,"M09","September","3","[{}]"
"WSU100",2019,"M08","August","2","[{}]"
"WSU100",2019,"M07","July","0","[{}]"
"WSU100",2019,"M06","June","0","[{}]"
"WSU100",2019,"M05","May","4","[{}]"
"WSU100",2019,"M04","April","3","[{}]"
"WSU100",2019,"M03","March","2","[{}]"
"WSU100",2019,"M02","February","5","[{}]"
"WSU100",2019,"M01","January","1","[{}]"
"WSU100",2018,"M12","December","1","[{}]"
"WSU100",2018,"M11","November","0","[{}]"
"WSU100",2018,"M10","October","2","[{}]"
"WSU100",2018,"M09","September","3","[{}]"
"WSU100",2018,"M08","August","1","[{}]"
"WSU100",2018,"M07","July","2","[{}]"
"WSU100",2018,"M06","June","2","[{}]"
"WSU100",2018,"M05","May","2","[{}]"
"WSU100",2018,"M04","April","4","[{}]"
"WSU100",2018,"M03","March","2","[{}]"
"WSU100",2018,"M02","February","1","[{}]"
"WSU100",2018,"M01","January","0","[{}]"
"WSU100",2017,"M12","December","1","[{}]"
"WSU100",2017,"M11","November","0","[{}]"
"WSU100",2017,"M10","October","0","[{}]"
"WSU100",2017,"M09","September","1","[{}]"
"WSU100",2017,"M08","August","1","[{}]"
"WSU100",2017,"M07","July","1","[{}]"
"WSU100",2017,"M06","June","0","[{}]"
"WSU100",2017,"M05","May","0","[{}]"
"WSU100",2017,"M04","April","0","[{}]"
"WSU100",2017,"M03","March","2","[{}]"
"WSU100",2017,"M02","February","0","[{}]"
"WSU100",2017,"M01","January","1","[{}]"
"WSU100",2016,"M12","December","0","[{}]"
"WSU100",2016,"M11","November","1","[{}]"
"WSU100",2016,"M10","October","1","[{}]"
"WSU100",2016,"M09","September","3","[{}]"
"WSU100",2016,"M08","August","0","[{}]"
"WSU100",2016,"M07","July","1","[{}]"
"WSU100",2016,"M06","June","2","[{}]"
"WSU100",2016,"M05","May","2","[{}]"
"WSU100",2016,"M04","April","2","[{}]"
"WSU100",2016,"M03","March","1","[{}]"
"WSU100",2016,"M02","February","1","[{}]"
"WSU100",2016,"M01","January","1","[{}]"
"WSU100",2015,"M12","December","1","[{}]"
"WSU100",2015,"M11","November","3","[{}]"
"WSU100",2015,"M10","October","0","[{}]"
"WSU100",2015,"M09","September","2","[{}]"
"WSU100",2015,"M08","August","2","[{}]"
"WSU100",2015,"M07","July","0","[{}]"
"WSU100",2015,"M06","June","0","[{}]"
"WSU100",2015,"M05","May","0","[{}]"
"WSU100",2015,"M04","April","2","[{}]"
"WSU100",2015,"M03","March","0","[{}]"
"WSU100",2015,"M02","February","1","[{}]"
"WSU100",2015,"M01","January","1","[{}]"
"WSU100",2014,"M12","December","2","[{}]"
"WSU100",2014,"M11","November","2","[{}]"
"WSU100",2014,"M10","October","2","[{}]"
"WSU100",2014,"M09","September","1","[{}]"
"WSU100",2014,"M08","August","1","[{}]"
"WSU100",2014,"M07","July","0","[{}]"
"WSU100",2014,"M06","June","0","[{}]"
"WSU100",2014,"M05","May","0","[{}]"
"WSU100",2014,"M04","April","2","[{}]"
"WSU100",2014,"M03","March","0","[{}]"
"WSU100",2014,"M02","February","1","[{}]"
"WSU100",2014,"M01","January","0","[{}]"
"WSU100",2013,"M12","December","2","[{}]"
"WSU100",2013,"M11","November","2","[{}]"
"WSU100",2013,"M10","October","3","[{}]"
"WSU100",2013,"M09","September","1","[{}]"
"WSU100",2013,"M08","August","0","[{}]"
"WSU100",2013,"M07","July","2","[{}]"
"WSU100",2013,"M06","June","0","[{}]"
"WSU100",2013,"M05","May","3","[{}]"
"WSU100",2013,"M04","April","0","[{}]"
"WSU100",2013,"M03","March","0","[{}]"
"WSU100",2013,"M02","February","1","[{}]"
"WSU100",2013,"M01","January","1","[{}]"
"WSU100",2012,"M12","December","3","[{}]"
"WSU100",2012,"M11","November","5","[{}]"
"WSU100",2012,"M10","October","0","[{}]"
"WSU100",2012,"M09","September","1","[{}]"
"WSU100",2012,"M08","August","1","[{}]"
"WSU100",2012,"M07","July","2","[{}]"
"WSU100",2012,"M06","June","2","[{}]"
"WSU100",2012,"M05","May","1","[{}]"
"WSU100",2012,"M04","April","1","[{}]"
"WSU100",2012,"M03","March","1","[{}]"
"WSU100",2012,"M02","February","0","[{}]"
"WSU100",2012,"M01","January","2","[{}]"
"WSU100",2011,"M12","December","1","[{}]"
"WSU100",2011,"M11","November","1","[{}]"
"WSU100",2011,"M10","October","0","[{}]"
"WSU100",2011,"M09","September","4","[{}]"
"WSU100",2011,"M08","August","2","[{}]"
"WSU100",2011,"M07","July","0","[{}]"
"WSU100",2011,"M06","June","3","[{}]"
"WSU100",2011,"M05","May","3","[{}]"
"WSU100",2011,"M04","April","1","[{}]"
"WSU100",2011,"M03","March","4","[{}]"
"WSU100",2011,"M02","February","0","[{}]"
"WSU100",2011,"M01","January","0","[{}]"
"WSU100",2010,"M12","December","1","[{}]"
"WSU100",2010,"M11","November","0","[{}]"
"WSU100",2010,"M10","October","1","[{}]"
"WSU100",2010,"M09","September","1","[{}]"
"WSU100",2010,"M08","August","0","[{}]"
"WSU100",2010,"M07","July","1","[{}]"
"WSU100",2010,"M06","June","2","[{}]"
"WSU100",2010,"M05","May","1","[{}]"
"WSU100",2010,"M04","April","3","[{}]"
"WSU100",2010,"M03","March","1","[{}]"
"WSU100",2010,"M02","February","0","[{}]"
"WSU100",2010,"M01","January","0","[{}]"
"WSU100",2009,"M12","December","0","[{}]"
"WSU100",2009,"M11","November","2","[{}]"
"WSU100",2009,"M10","October","0","[{}]"
"WSU100",2009,"M09","September","0","[{}]"
"WSU100",2009,"M08","August","1","[{}]"
"WSU100",2009,"M07","July","1","[{}]"
"WSU100",2009,"M06","June","1","[{}]"
"WSU100",2009,"M05","May","0","[{}]"
"WSU100",2009,"M04","April","0","[{}]"
"WSU100",2009,"M03","March","0","[{}]"
"WSU100",2009,"M02","February","0","[{}]"
"WSU100",2009,"M01","January","0","[{}]"
"WSU100",2008,"M12","December","0","[{}]"
"WSU100",2008,"M11","November","0","[{}]"
"WSU100",2008,"M10","October","1","[{}]"
"WSU100",2008,"M09","September","2","[{}]"
"WSU100",2008,"M08","August","2","[{}]"
"WSU100",2008,"M07","July","1","[{}]"
"WSU100",2008,"M06","June","2","[{}]"
"WSU100",2008,"M05","May","2","[{}]"
"WSU100",2008,"M04","April","1","[{}]"
"WSU100",2008,"M03","March","2","[{}]"
"WSU100",2008,"M02","February","2","[{}]"
"WSU100",2008,"M01","January","0","[{}]"
"WSU100",2007,"M12","December","2","[{}]"
"WSU100",2007,"M11","November","1","[{}]"
"WSU100",2007,"M10","October","3","[{}]"
"WSU100",2007,"M09","September","5","[{}]"
"WSU100",2007,"M08","August","1","[{}]"
"WSU100",2007,"M07","July","1","[{}]"
"WSU100",2007,"M06","June","2","[{}]"
"WSU100",2007,"M05","May","0","[{}]"
"WSU100",2007,"M04","April","3","[{}]"
"WSU100",2007,"M03","March","2","[{}]"
"WSU100",2007,"M02","February","1","[{}]"
"WSU100",2007,"M01","January","0","[{}]"
"WSU100",2006,"M12","December","0","[{}]"
"WSU100",2006,"M11","November","1","[{}]"
"WSU100",2006,"M10","October","3","[{}]"
"WSU100",2006,"M09","September","1","[{}]"
"WSU100",2006,"M08","August","4","[{}]"
"WSU100",2006,"M07","July","1","[{}]"
"WSU100",2006,"M06","June","4","[{}]"
"WSU100",2006,"M05","May","1","[{}]"
"WSU100",2006,"M04","April","2","[{}]"
"WSU100",2006,"M03","March","2","[{}]"
"WSU100",2006,"M02","February","1","[{}]"
"WSU100",2006,"M01","January","0","[{}]"
"WSU100",2005,"M12","December","1","[{}]"
"WSU100",2005,"M11","November","1","[{}]"
"WSU100",2005,"M10","October","1","[{}]"
"WSU100",2005,"M09","September","1","[{}]"
"WSU100",2005,"M08","August","1","[{}]"
"WSU100",2005,"M07","July","1","[{}]"
"WSU100",2005,"M06","June","4","[{}]"
"WSU100",2005,"M05","May","5","[{}]"
"WSU100",2005,"M04","April","4","[{}]"
"WSU100",2005,"M03","March","3","[{}]"
"WSU100",2005,"M02","February","0","[{}]"
"WSU100",2005,"M01","January","0","[{}]"
"WSU100",2004,"M12","December","3","[{}]"
"WSU100",2004,"M11","November","2","[{}]"
"WSU100",2004,"M10","October","1","[{}]"
"WSU100",2004,"M09","September","2","[{}]"
"WSU100",2004,"M08","August","2","[{}]"
"WSU100",2004,"M07","July","0","[{}]"
"WSU100",2004,"M06","June","3","[{}]"
"WSU100",2004,"M05","May","2","[{}]"
"WSU100",2004,"M04","April","0","[{}]"
"WSU100",2004,"M03","March","1","[{}]"
"WSU100",2004,"M02","February","1","[{}]"
"WSU100",2004,"M01","January","0","[{}]"
"WSU100",2003,"M12","December","0","[{}]"
"WSU100",2003,"M11","November","0","[{}]"
"WSU100",2003,"M10","October","5","[{}]"
"WSU100",2003,"M09","September","0","[{}]"
"WSU100",2003,"M08","August","3","[{}]"
"WSU100",2003,"M07","July","0","[{}]"
"WSU100",2003,"M06","June","1","[{}]"
"WSU100",2003,"M05","May","1","[{}]"
"WSU100",2003,"M04","April","1","[{}]"
"WSU100",2003,"M03","March","2","[{}]"
"WSU100",2003,"M02","February","0","[{}]"
"WSU100",2003,"M01","January","1","[{}]"
"WSU100",2002,"M12","December","1","[{}]"
"WSU100",2002,"M11","November","2","[{}]"
"WSU100",2002,"M10","October","1","[{}]"
"WSU100",2002,"M09","September","3","[{}]"
"WSU100",2002,"M08","August","1","[{}]"
"WSU100",2002,"M07","July","3","[{}]"
"WSU100",2002,"M06","June","1","[{}]"
"WSU100",2002,"M05","May","3","[{}]"
"WSU100",2002,"M04","April","2","[{}]"
"WSU100",2002,"M03","March","1","[{}]"
"WSU100",2002,"M02","February","1","[{}]"
"WSU100",2002,"M01","January","0","[{}]"
"WSU200",2021,"M12","December","5","[{}]"
"WSU200",2021,"M11","November","7","[{}]"
"WSU200",2021,"M10","October","7","[{}]"
"WSU200",2021,"M09","September","4","[{}]"
"WSU200",2021,"M08","August","3","[{}]"
"WSU200",2021,"M07","July","6","[{}]"
"WSU200",2021,"M06","June","5","[{}]"
"WSU200",2021,"M05","May","4","[{}]"
"WSU200",2021,"M04","April","6","[{}]"
"WSU200",2021,"M03","March","3","[{}]"
"WSU200",2021,"M02","February","1","[{}]"
"WSU200",2021,"M01","January","2","[{}]"
"WSU200",2020,"M12","December","2","[{}]"
"WSU200",2020,"M11","November","1","[{}]"
"WSU200",2020,"M10","October","2","[{}]"
"WSU200",2020,"M09","September","3","[{}]"
"WSU200",2020,"M08","August","2","[{}]"
"WSU200",2020,"M07","July","3","[{}]"
"WSU200",2020,"M06","June","3","[{}]"
"WSU200",2020,"M05","May","2","[{}]"
"WSU200",2020,"M04","April","2","[{}]"
"WSU200",2020,"M03","March","4","[{}]"
"WSU200",2020,"M02","February","2","[{}]"
"WSU200",2020,"M01","January","3","[{}]"
"WSU200",2019,"M12","December","4","[{}]"
"WSU200",2019,"M11","November","3","[{}]"
"WSU200",2019,"M10","October","5","[{}]"
"WSU200",2019,"M09","September","4","[{}]"
"WSU200",2019,"M08","August","3","[{}]"
"WSU200",2019,"M07","July","1","[{}]"
"WSU200",2019,"M06","June","2","[{}]"
"WSU200",2019,"M05","May","6","[{}]"
"WSU200",2019,"M04","April","5","[{}]"
"WSU200",2019,"M03","March","6","[{}]"
"WSU200",2019,"M02","February","6","[{}]"
"WSU200",2019,"M01","January","3","[{}]"
"WSU200",2018,"M12","December","4","[{}]"
"WSU200",2018,"M11","November","3","[{}]"
"WSU200",2018,"M10","October","5","[{}]"
"WSU200",2018,"M09","September","6","[{}]"
"WSU200",2018,"M08","August","3","[{}]"
"WSU200",2018,"M07","July","4","[{}]"
"WSU200",2018,"M06","June","3","[{}]"
"WSU200",2018,"M05","May","4","[{}]"
"WSU200",2018,"M04","April","5","[{}]"
"WSU200",2018,"M03","March","4","[{}]"
"WSU200",2018,"M02","February","2","[{}]"
"WSU200",2018,"M01","January","1","[{}]"
"WSU200",2017,"M12","December","2","[{}]"
"WSU200",2017,"M11","November","1","[{}]"
"WSU200",2017,"M10","October","1","[{}]"
"WSU200",2017,"M09","September","3","[{}]"
"WSU200",2017,"M08","August","2","[{}]"
"WSU200",2017,"M07","July","2","[{}]"
"WSU200",2017,"M06","June","1","[{}]"
"WSU200",2017,"M05","May","1","[{}]"
"WSU200",2017,"M04","April","1","[{}]"
"WSU200",2017,"M03","March","2","[{}]"
"WSU200",2017,"M02","February","0","[{}]"
"WSU200",2017,"M01","January","1","[{}]"
"WSU200",2016,"M12","December","0","[{}]"
"WSU200",2016,"M11","November","1","[{}]"
"WSU200",2016,"M10","October","4","[{}]"
"WSU200",2016,"M09","September","3","[{}]"
"WSU200",2016,"M08","August","0","[{}]"
"WSU200",2016,"M07","July","1","[{}]"
"WSU200",2016,"M06","June","2","[{}]"
"WSU200",2016,"M05","May","3","[{}]"
"WSU200",2016,"M04","April","2","[{}]"
"WSU200",2016,"M03","March","1","[{}]"
"WSU200",2016,"M02","February","2","[{}]"
"WSU200",2016,"M01","January","2","[{}]"
"WSU200",2015,"M12","December","3","[{}]"
"WSU200",2015,"M11","November","4","[{}]"
"WSU200",2015,"M10","October","2","[{}]"
"WSU200",2015,"M09","September","4","[{}]"
"WSU200",2015,"M08","August","2","[{}]"
"WSU200",2015,"M07","July","0","[{}]"
"WSU200",2015,"M06","June","2","[{}]"
"WSU200",2015,"M05","May","3","[{}]"
"WSU200",2015,"M04","April","3","[{}]"
"WSU200",2015,"M03","March","1","[{}]"
"WSU200",2015,"M02","February","2","[{}]"
"WSU200",2015,"M01","January","2","[{}]"
"WSU200",2014,"M12","December","3","[{}]"
"WSU200",2014,"M11","November","3","[{}]"
"WSU200",2014,"M10","October","3","[{}]"
"WSU200",2014,"M09","September","1","[{}]"
"WSU200",2014,"M08","August","1","[{}]"
"WSU200",2014,"M07","July","0","[{}]"
"WSU200",2014,"M06","June","0","[{}]"
"WSU200",2014,"M05","May","1","[{}]"
"WSU200",2014,"M04","April","2","[{}]"
"WSU200",2014,"M03","March","0","[{}]"
"WSU200",2014,"M02","February","1","[{}]"
"WSU200",2014,"M01","January","0","[{}]"
"WSU200",2013,"M12","December","3","[{}]"
"WSU200",2013,"M11","November","2","[{}]"
"WSU200",2013,"M10","October","3","[{}]"
"WSU200",2013,"M09","September","1","[{}]"
"WSU200",2013,"M08","August","0","[{}]"
"WSU200",2013,"M07","July","2","[{}]"
"WSU200",2013,"M06","June","0","[{}]"
"WSU200",2013,"M05","May","3","[{}]"
"WSU200",2013,"M04","April","0","[{}]"
"WSU200",2013,"M03","March","0","[{}]"
"WSU200",2013,"M02","February","2","[{}]"
"WSU200",2013,"M01","January","1","[{}]"
"WSU200",2012,"M12","December","5","[{}]"
"WSU200",2012,"M11","November","6","[{}]"
"WSU200",2012,"M10","October","1","[{}]"
"WSU200",2012,"M09","September","2","[{}]"
"WSU200",2012,"M08","August","2","[{}]"
"WSU200",2012,"M07","July","3","[{}]"
"WSU200",2012,"M06","June","4","[{}]"
"WSU200",2012,"M05","May","3","[{}]"
"WSU200",2012,"M04","April","2","[{}]"
"WSU200",2012,"M03","March","2","[{}]"
"WSU200",2012,"M02","February","2","[{}]"
"WSU200",2012,"M01","January","4","[{}]"
"WSU200",2011,"M12","December","3","[{}]"
"WSU200",2011,"M11","November","2","[{}]"
"WSU200",2011,"M10","October","1","[{}]"
"WSU200",2011,"M09","September","5","[{}]"
"WSU200",2011,"M08","August","2","[{}]"
"WSU200",2011,"M07","July","3","[{}]"
"WSU200",2011,"M06","June","4","[{}]"
"WSU200",2011,"M05","May","4","[{}]"
"WSU200",2011,"M04","April","2","[{}]"
"WSU200",2011,"M03","March","4","[{}]"
"WSU200",2011,"M02","February","0","[{}]"
"WSU200",2011,"M01","January","0","[{}]"
"WSU200",2010,"M12","December","1","[{}]"
"WSU200",2010,"M11","November","0","[{}]"
"WSU200",2010,"M10","October","1","[{}]"
"WSU200",2010,"M09","September","1","[{}]"
"WSU200",2010,"M08","August","0","[{}]"
"WSU200",2010,"M07","July","1","[{}]"
"WSU200",2010,"M06","June","3","[{}]"
"WSU200",2010,"M05","May","1","[{}]"
"WSU200",2010,"M04","April","4","[{}]"
"WSU200",2010,"M03","March","1","[{}]"
"WSU200",2010,"M02","February","0","[{}]"
"WSU200",2010,"M01","January","0","[{}]"
"WSU200",2009,"M12","December","0","[{}]"
"WSU200",2009,"M11","November","2","[{}]"
"WSU200",2009,"M10","October","0","[{}]"
"WSU200",2009,"M09","September","1","[{}]"
"WSU200",2009,"M08","August","1","[{}]"
"WSU200",2009,"M07","July","2","[{}]"
"WSU200",2009,"M06","June","1","[{}]"
"WSU200",2009,"M05","May","0","[{}]"
"WSU200",2009,"M04","April","0","[{}]"
"WSU200",2009,"M03","March","0","[{}]"
"WSU200",2009,"M02","February","0","[{}]"
"WSU200",2009,"M01","January","0","[{}]"
"WSU200",2008,"M12","December","0","[{}]"
"WSU200",2008,"M11","November","1","[{}]"
"WSU200",2008,"M10","October","2","[{}]"
"WSU200",2008,"M09","September","2","[{}]"
"WSU200",2008,"M08","August","2","[{}]"
"WSU200",2008,"M07","July","1","[{}]"
"WSU200",2008,"M06","June","2","[{}]"
"WSU200",2008,"M05","May","4","[{}]"
"WSU200",2008,"M04","April","2","[{}]"
"WSU200",2008,"M03","March","4","[{}]"
"WSU200",2008,"M02","February","3","[{}]"
"WSU200",2008,"M01","January","1","[{}]"
"WSU200",2007,"M12","December","4","[{}]"
"WSU200",2007,"M11","November","2","[{}]"
"WSU200",2007,"M10","October","3","[{}]"
"WSU200",2007,"M09","September","6","[{}]"
"WSU200",2007,"M08","August","1","[{}]"
"WSU200",2007,"M07","July","1","[{}]"
"WSU200",2007,"M06","June","2","[{}]"
"WSU200",2007,"M05","May","0","[{}]"
"WSU200",2007,"M04","April","4","[{}]"
"WSU200",2007,"M03","March","3","[{}]"
"WSU200",2007,"M02","February","2","[{}]"
"WSU200",2007,"M01","January","2","[{}]"
"WSU200",2006,"M12","December","3","[{}]"
"WSU200",2006,"M11","November","5","[{}]"
"WSU200",2006,"M10","October","5","[{}]"
"WSU200",2006,"M09","September","6","[{}]"
"WSU200",2006,"M08","August","6","[{}]"
"WSU200",2006,"M07","July","4","[{}]"
"WSU200",2006,"M06","June","7","[{}]"
"WSU200",2006,"M05","May","5","[{}]"
"WSU200",2006,"M04","April","6","[{}]"
"WSU200",2006,"M03","March","5","[{}]"
"WSU200",2006,"M02","February","4","[{}]"
"WSU200",2006,"M01","January","3","[{}]"
"WSU200",2005,"M12","December","4","[{}]"
"WSU200",2005,"M11","November","5","[{}]"
"WSU200",2005,"M10","October","4","[{}]"
"WSU200",2005,"M09","September","4","[{}]"
"WSU200",2005,"M08","August","3","[{}]"
"WSU200",2005,"M07","July","3","[{}]"
"WSU200",2005,"M06","June","9","[{}]"
"WSU200",2005,"M05","May","8","[{}]"
"WSU200",2005,"M04","April","7","[{}]"
"WSU200",2005,"M03","March","5","[{}]"
"WSU200",2005,"M02","February","2","[{}]"
"WSU200",2005,"M01","January","2","[{}]"
"WSU200",2004,"M12","December","4","[{}]"
"WSU200",2004,"M11","November","4","[{}]"
"WSU200",2004,"M10","October","3","[{}]"
"WSU200",2004,"M09","September","3","[{}]"
"WSU200",2004,"M08","August","2","[{}]"
"WSU200",2004,"M07","July","1","[{}]"
"WSU200",2004,"M06","June","4","[{}]"
"WSU200",2004,"M05","May","2","[{}]"
"WSU200",2004,"M04","April","1","[{}]"
"WSU200",2004,"M03","March","1","[{}]"
"WSU200",2004,"M02","February","2","[{}]"
"WSU200",2004,"M01","January","1","[{}]"
"WSU200",2003,"M12","December","2","[{}]"
"WSU200",2003,"M11","November","3","[{}]"
"WSU200",2003,"M10","October","5","[{}]"
"WSU200",2003,"M09","September","2","[{}]"
"WSU200",2003,"M08","August","3","[{}]"
"WSU200",2003,"M07","July","1","[{}]"
"WSU200",2003,"M06","June","1","[{}]"
"WSU200",2003,"M05","May","1","[{}]"
"WSU200",2003,"M04","April","1","[{}]"
"WSU200",2003,"M03","March","2","[{}]"
"WSU200",2003,"M02","February","0","[{}]"
"WSU200",2003,"M01","January","2","[{}]"
"WSU200",2002,"M12","December","1","[{}]"
"WSU200",2002,"M11","November","2","[{}]"
"WSU200",2002,"M10","October","3","[{}]"
"WSU200",2002,"M09","September","3","[{}]"
"WSU200",2002,"M08","August","3","[{}]"
"WSU200",2002,"M07","July","4","[{}]"
"WSU200",2002,"M06","June","3","[{}]"
"WSU200",2002,"M05","May","5","[{}]"
"WSU200",2002,"M04","April","3","[{}]"
"WSU200",2002,"M03","March","1","[{}]"
"WSU200",2002,"M02","February","2","[{}]"
"WSU200",2002,"M01","January","1","[{}]"
"WSU010",2021,"M12","December","7","[{}]"
"WSU010",2021,"M11","November","40","[{}]"
"WSU010",2021,"M10","October","15.4","[{}]"
"WSU010",2021,"M09","September","2","[{}]"
"WSU010",2021,"M08","August","1","[{}]"
"WSU010",2021,"M07","July","1.4","[{}]"
"WSU010",2021,"M06","June","2","[{}]"
"WSU010",2021,"M05","May","0","[{}]"
"WSU010",2021,"M04","April","6.2","[{}]"
"WSU010",2021,"M03","March","4.3","[{}]"
"WSU010",2021,"M02","February","0","[{}]"
"WSU010",2021,"M01","January","1.4","[{}]"
"WSU010",2020,"M12","December","1.6","[{}]"
"WSU010",2020,"M11","November","0","[{}]"
"WSU010",2020,"M10","October","3","[{}]"
"WSU010",2020,"M09","September","5.7","[{}]"
"WSU010",2020,"M08","August","0","[{}]"
"WSU010",2020,"M07","July","0","[{}]"
"WSU010",2020,"M06","June","4.3","[{}]"
"WSU010",2020,"M05","May","0","[{}]"
"WSU010",2020,"M04","April","0","[{}]"
"WSU010",2020,"M03","March","4.6","[{}]"
"WSU010",2020,"M02","February","0","[{}]"
"WSU010",2020,"M01","January","7.8","[{}]"
"WSU010",2019,"M12","December","6.4","[{}]"
"WSU010",2019,"M11","November","0","[{}]"
"WSU010",2019,"M10","October","37.3","[{}]"
"WSU010",2019,"M09","September","52.5","[{}]"
"WSU010",2019,"M08","August","21.8","[{}]"
"WSU010",2019,"M07","July","0","[{}]"
"WSU010",2019,"M06","June","0","[{}]"
"WSU010",2019,"M05","May","134","[{}]"
"WSU010",2019,"M04","April","57.9","[{}]"
"WSU010",2019,"M03","March","15.4","[{}]"
"WSU010",2019,"M02","February","67.2","[{}]"
"WSU010",2019,"M01","January","33","[{}]"
"WSU010",2018,"M12","December","4","[{}]"
"WSU010",2018,"M11","November","0","[{}]"
"WSU010",2018,"M10","October","21","[{}]"
"WSU010",2018,"M09","September","8.9","[{}]"
"WSU010",2018,"M08","August","5","[{}]"
"WSU010",2018,"M07","July","4.2","[{}]"
"WSU010",2018,"M06","June","10.9","[{}]"
"WSU010",2018,"M05","May","176","[{}]"
"WSU010",2018,"M04","April","215","[{}]"
"WSU010",2018,"M03","March","5.2","[{}]"
"WSU010",2018,"M02","February","35","[{}]"
"WSU010",2018,"M01","January","0","[{}]"
"WSU010",2017,"M12","December","2.9","[{}]"
"WSU010",2017,"M11","November","0","[{}]"
"WSU010",2017,"M10","October","0","[{}]"
"WSU010",2017,"M09","September","2.3","[{}]"
"WSU010",2017,"M08","August","1.7","[{}]"
"WSU010",2017,"M07","July","1.2","[{}]"
"WSU010",2017,"M06","June","0","[{}]"
"WSU010",2017,"M05","May","0","[{}]"
"WSU010",2017,"M04","April","0","[{}]"
"WSU010",2017,"M03","March","15","[{}]"
"WSU010",2017,"M02","February","0","[{}]"
"WSU010",2017,"M01","January","2.2","[{}]"
"WSU010",2016,"M12","December","0","[{}]"
"WSU010",2016,"M11","November","5.2","[{}]"
"WSU010",2016,"M10","October","5.1","[{}]"
"WSU010",2016,"M09","September","7.3","[{}]"
"WSU010",2016,"M08","August","0","[{}]"
"WSU010",2016,"M07","July","2.6","[{}]"
"WSU010",2016,"M06","June","6.1","[{}]"
"WSU010",2016,"M05","May","3.2","[{}]"
"WSU010",2016,"M04","April","63.5","[{}]"
"WSU010",2016,"M03","March","1.2","[{}]"
"WSU010",2016,"M02","February","4.2","[{}]"
"WSU010",2016,"M01","January","1","[{}]"
"WSU010",2015,"M12","December","3.2","[{}]"
"WSU010",2015,"M11","November","5.9","[{}]"
"WSU010",2015,"M10","October","0","[{}]"
"WSU010",2015,"M09","September","6.1","[{}]"
"WSU010",2015,"M08","August","3.4","[{}]"
"WSU010",2015,"M07","July","0","[{}]"
"WSU010",2015,"M06","June","1.2","[{}]"
"WSU010",2015,"M05","May","13.6","[{}]"
"WSU010",2015,"M04","April","3.8","[{}]"
"WSU010",2015,"M03","March","0","[{}]"
"WSU010",2015,"M02","February","6.6","[{}]"
"WSU010",2015,"M01","January","3.5","[{}]"
"WSU010",2014,"M12","December","2.9","[{}]"
"WSU010",2014,"M11","November","20.1","[{}]"
"WSU010",2014,"M10","October","2.9","[{}]"
"WSU010",2014,"M09","September","1.3","[{}]"
"WSU010",2014,"M08","August","1","[{}]"
"WSU010",2014,"M07","July","0","[{}]"
"WSU010",2014,"M06","June","0","[{}]"
"WSU010",2014,"M05","May","0","[{}]"
"WSU010",2014,"M04","April","5","[{}]"
"WSU010",2014,"M03","March","0","[{}]"
"WSU010",2014,"M02","February","1.1","[{}]"
"WSU010",2014,"M01","January","0","[{}]"
"WSU010",2013,"M12","December","2.8","[{}]"
"WSU010",2013,"M11","November","3.1","[{}]"
"WSU010",2013,"M10","October","6.8","[{}]"
"WSU010",2013,"M09","September","2.6","[{}]"
"WSU010",2013,"M08","August","0","[{}]"
"WSU010",2013,"M07","July","4.9","[{}]"
"WSU010",2013,"M06","June","0","[{}]"
"WSU010",2013,"M05","May","24.3","[{}]"
"WSU010",2013,"M04","April","0","[{}]"
"WSU010",2013,"M03","March","0","[{}]"
"WSU010",2013,"M02","February","2","[{}]"
"WSU010",2013,"M01","January","8","[{}]"
"WSU010",2012,"M12","December","7.4","[{}]"
"WSU010",2012,"M11","November","26.2","[{}]"
"WSU010",2012,"M10","October","0","[{}]"
"WSU010",2012,"M09","September","26.5","[{}]"
"WSU010",2012,"M08","August","21.2","[{}]"
"WSU010",2012,"M07","July","11.7","[{}]"
"WSU010",2012,"M06","June","18.5","[{}]"
"WSU010",2012,"M05","May","4.5","[{}]"
"WSU010",2012,"M04","April","3.6","[{}]"
"WSU010",2012,"M03","March","1.9","[{}]"
"WSU010",2012,"M02","February","0","[{}]"
"WSU010",2012,"M01","January","26.6","[{}]"
"WSU010",2011,"M12","December","6","[{}]"
"WSU010",2011,"M11","November","1","[{}]"
